#{"t_start": 1704790727.3099277, "env_id": "edge_follow-v0"}
r,l,t
-41.752687,200,51.907253
-53.982071,200,100.185365
-46.239934,200,148.274948
-39.520501,200,196.084669
-43.264689,200,243.472629
-39.101611,200,290.923784
-47.446242,200,337.895651
-43.689031,200,386.056274
-38.14657,200,434.447793
-37.344795,200,482.421492
-38.384261,200,804.38216
-49.769525,200,852.889756
-39.263845,200,900.315788
-38.218163,200,947.48304
-41.079942,200,995.391338
-37.807218,200,1042.534336
-37.642598,200,1090.635158
-62.707437,200,1138.480484
-40.225086,200,1186.226948
-52.229212,200,1234.128767
-45.766184,200,1558.054216
-37.591122,200,1605.770859
-38.253044,200,1653.656729
-39.010922,200,1701.622519
-36.910359,200,1749.565962
-39.691036,200,1797.644762
-38.011322,200,1845.59077
-37.247894,200,1894.406284
-38.967562,200,1941.947008
-37.723827,200,1989.226068
-69.668428,200,2861.925489
-35.339822,200,2909.898119
-34.636165,200,2958.166818
-36.140572,200,3006.761562
-36.599642,200,3055.924179
-35.253393,200,3105.232447
-38.623364,200,3154.447183
-40.477553,200,3204.086232
-36.524759,200,3252.605026
-38.028894,200,3301.353064
-36.956631,200,3580.523521
-35.331075,200,3628.993681
-36.903395,200,3677.221359
-34.249666,200,3726.122936
-36.719566,200,3774.094632
-36.72463,200,3823.012641
-37.468606,200,3870.836999
-38.086823,200,3919.649697
-36.266504,200,3968.702752
-35.29053,200,4017.169262
-36.495111,200,4179.709438
-36.235688,200,4294.503191
-35.603284,200,4343.005468
-32.959874,200,4391.707792
-36.243201,200,4440.152962
-36.291155,200,4488.085634
-33.941569,200,4536.588432
-34.548682,200,4584.601281
-34.518732,200,4633.008821
-36.068853,200,4681.42887
-32.246802,200,4843.829561
-32.949762,200,4924.130188
-34.313629,200,4972.86676
-34.310592,200,5020.913241
-36.540414,200,5068.858552
-34.450271,200,5116.933285
-35.245347,200,5168.193318
-36.182016,200,5218.08619
-36.370246,200,5267.433069
-35.774795,200,5316.121483
-36.077687,200,5478.851449
-36.310926,200,5633.909876
-34.962966,200,5682.51209
-32.681041,200,5731.445977
-35.88859,200,5779.907951
-30.509385,200,5828.237241
-34.070972,200,5876.59805
-35.936554,200,5926.049381
-36.460278,200,5974.957282
-32.143303,200,6024.085279
-33.238503,200,6188.917346
-36.218739,200,6334.458585
-35.40487,200,6383.077192
-35.527344,200,6431.881226
-26.671313,200,6480.576057
-30.614746,200,6529.756859
-33.903681,200,6578.995895
-35.788842,200,6627.603348
-32.575458,200,6676.900661
-36.523781,200,6725.525958
-36.24062,200,6891.538656
-35.190079,200,6940.461371
-30.060208,200,7066.969604
-29.157619,200,7116.158308
-29.186137,200,7164.770702
-33.978776,200,7213.272726
-33.289757,200,7260.827378
-31.598066,200,7310.118318
-32.368206,200,7358.964932
-35.726321,200,7409.225211
-33.657568,200,7568.636656
-31.391144,200,7617.385706
-35.737225,200,7711.271467
-34.894383,200,7760.38922
-33.364754,200,7808.080717
-34.604022,200,7856.74752
-35.105378,200,7905.577217
-33.747778,200,7954.297395
-36.522031,200,8002.552791
-31.913881,200,8051.23615
-36.784618,200,8212.878837
-34.77207,200,8261.560835
-37.498575,200,8404.357968
-34.179777,200,8453.318304
-31.940203,200,8502.204814
-30.865487,200,8550.40522
-32.746971,200,8600.070573
-31.240785,200,8649.052262
-30.185821,200,8697.609252
