#{"t_start": 1704790728.566186, "env_id": "edge_follow-v0"}
r,l,t
-41.180985,200,50.694939
-47.559455,200,98.944968
-59.511282,200,147.108696
-45.004994,200,194.898525
-50.711302,200,242.218661
-40.505315,200,289.676761
-46.178837,200,336.646688
-48.412931,200,384.843675
-39.21017,200,433.178689
-48.29579,200,481.16668
-38.155379,200,803.109054
-36.755181,200,851.64252
-40.329566,200,899.1306
-44.192373,200,946.282583
-51.658864,200,994.1912
-51.56528,200,1041.326903
-38.288933,200,1089.490837
-38.42557,200,1137.249794
-56.627974,200,1185.081357
-36.349486,200,1232.872515
-41.754933,200,1556.689544
-37.279222,200,1604.630088
-38.399903,200,1652.469462
-37.146276,200,1700.391686
-37.943639,200,1748.377237
-36.872082,200,1796.405611
-37.184791,200,1844.391142
-36.963348,200,1893.285508
-36.830271,200,1940.776138
-40.940687,200,1988.063814
-38.110975,200,2860.745429
-39.362909,200,2908.747341
-36.911908,200,2956.919633
-36.400753,200,3005.554766
-37.161696,200,3054.751232
-36.772097,200,3103.976126
-33.523981,200,3153.296852
-37.362188,200,3202.841005
-37.727204,200,3251.356724
-46.751276,200,3300.177466
-34.214723,200,3579.410936
-31.840312,200,3627.812461
-62.568393,200,3676.119085
-37.759669,200,3724.965208
-37.514609,200,3772.912032
-36.089389,200,3821.845768
-37.135687,200,3869.652498
-36.173909,200,3918.424445
-36.096778,200,3967.561641
-37.093013,200,4015.971266
-36.799214,200,4178.45874
-36.032711,200,4293.251721
-39.10025,200,4341.790698
-32.342067,200,4390.491351
-34.838013,200,4438.931526
-33.990004,200,4486.872697
-26.958726,200,4535.377352
-36.097221,200,4583.375796
-37.019509,200,4631.757489
-33.760477,200,4680.197206
-31.672111,200,4842.604214
-36.508787,200,4922.878049
-35.864464,200,4971.653301
-36.505015,200,5019.67304
-36.837174,200,5067.597085
-30.932192,200,5115.69199
-35.460204,200,5166.948986
-36.553762,200,5216.900604
-34.420373,200,5266.243107
-33.974674,200,5314.937645
-32.529485,200,5477.598883
-31.975853,200,5632.7458
-32.562815,200,5681.315481
-36.919522,200,5730.285145
-36.278178,200,5778.710828
-34.073488,200,5827.08519
-26.12357,200,5875.42577
-34.681305,200,5924.813092
-35.868852,200,5973.713887
-35.849003,200,6022.895781
-38.21565,200,6187.695758
-35.392598,200,6333.197201
-35.152958,200,6381.838742
-33.618003,200,6430.73308
-34.439002,200,6479.422382
-31.428801,200,6528.505486
-35.082862,200,6577.726573
-34.314666,200,6626.357236
-33.692056,200,6675.668887
-32.262964,200,6724.396806
-35.467266,200,6890.305341
-30.423802,200,6939.257378
-35.506262,200,7065.773115
-35.003295,200,7114.925197
-33.374336,200,7163.514216
-32.655308,200,7212.065409
-35.443781,200,7259.684222
-33.092862,200,7308.902363
-35.930387,200,7357.775198
-35.707389,200,7407.992155
-28.832078,200,7567.361206
-31.61176,200,7616.173216
-29.883781,200,7710.081637
-32.937996,200,7759.157126
-32.677231,200,7806.899849
-31.304122,200,7855.557846
-33.053553,200,7904.333808
-35.749413,200,7953.137211
-28.573644,200,8001.319662
-29.951258,200,8050.0206
-32.877847,200,8211.629215
-35.915788,200,8260.356958
-31.272018,200,8403.206432
-32.729707,200,8452.181233
-31.878354,200,8500.965241
-33.805649,200,8549.266963
-29.99929,200,8598.81032
-33.105371,200,8647.840347
-30.318364,200,8696.346738
-35.404941,200,8745.333316
-29.705168,200,8899.496847
-34.943949,200,8947.186206
-28.23903,200,9039.799176
-29.519667,200,9088.057262
-33.634466,200,9137.042999
-31.099143,200,9185.892201
-31.476321,200,9234.073206
-34.684021,200,9282.559545
-34.05644,200,9331.709022
-32.920446,200,9380.384985
-36.652414,200,9541.239909
-31.527697,200,9589.380968
-33.520757,200,9637.633067
-31.160211,200,9700.21387
-32.866003,200,9749.133487
-27.058444,200,9797.370439
-29.000604,200,9845.900325
-28.754414,200,9894.224814
-33.167185,200,9943.091959
-29.336861,200,9992.088212
-70.855714,200,10153.131905
-36.261721,200,10202.035496
-32.442344,200,10251.25578
-31.447094,200,10369.282581
-36.180172,200,10418.376428
-31.310666,200,10466.744442
-31.633125,200,10514.552571
-70.960114,200,10564.234507
-28.83666,200,10612.98906
-34.977596,200,10661.791277
-32.405094,200,10823.330092
-32.393537,200,10872.19254
-29.480217,200,10920.669322
-36.656153,200,11093.382956
-31.636668,200,11141.828206
-30.452446,200,11190.837154
-28.783459,200,11239.890158
-30.727198,200,11288.664917
-32.177043,200,11336.944585
-26.170598,200,11385.333002
-30.944936,200,11548.365041
-29.604096,200,11597.313792
-35.990252,200,11646.62819
-23.998398,200,11707.354569
-34.407719,200,11755.934812
-36.665023,200,11804.994074
-33.343489,200,11854.202441
-32.341199,200,11903.703677
-29.465927,200,11951.902645
-29.48704,200,11999.869301
-30.610567,200,12165.542661
-31.63499,200,12214.387355
-31.734284,200,12263.317109
-29.297411,200,12312.185976
-30.868533,200,12464.451428
-38.026032,200,12513.541974
-34.050964,200,12562.136191
-34.565441,200,12609.899933
-34.750349,200,12657.985913
-34.443283,200,12705.921339
-29.667264,200,12863.87771
-35.126057,200,12911.97175
-33.804131,200,12960.614569
-28.334633,200,13010.136143
-30.699462,200,13094.5975
-29.26213,200,13142.221045
-29.588054,200,13191.398711
-32.348129,200,13240.066686
-27.809101,200,13289.320696
-37.0906,200,13338.223675
-35.987441,200,13498.966862
-30.580893,200,13548.086435
-30.798818,200,13597.06374
-25.346358,200,13646.063719
-32.807542,200,13785.272214
-33.212817,200,13833.554898
-27.86743,200,13881.99779
-33.384919,200,13931.192433
-30.088285,200,13979.72526
-33.095856,200,14029.852905
-32.121813,200,14199.168968
-26.887108,200,14247.575343
-30.187197,200,14296.206055
-32.00834,200,14344.756045
-28.364357,200,14469.853031
-28.274635,200,14518.281463
-30.053772,200,14566.992071
-29.862004,200,14616.208453
-34.529802,200,14665.217385
-34.313881,200,14714.337149
-33.03167,200,14874.027193
-31.085786,200,14923.138751
-22.326243,200,14971.936466
-31.879487,200,15019.742415
-25.984493,200,15068.731125
-28.102518,200,15211.086397
-32.66766,200,15259.641065
-27.896198,200,15308.922444
-26.668777,200,15358.328493
-28.415892,200,15406.750579
-31.085193,200,15571.176894
-32.662181,200,15619.719888
-30.850402,200,15668.57025
-28.072704,200,15716.955935
-33.464619,200,15766.08684
-30.99795,200,15871.919521
-30.132823,200,15920.529596
-32.380789,200,15970.154675
-30.592498,200,16018.978547
-31.322764,200,16067.645256
-29.821309,200,16227.136123
-30.139955,200,16275.914235
-26.559467,200,16324.523379
-33.76866,200,16372.15366
-31.280767,200,16421.363996
-29.18049,200,16635.935588
-28.972177,200,16684.626764
-33.766975,200,16734.036274
-26.1973,200,16782.7236
-28.454709,200,16831.605524
-29.940987,200,16996.821922
-28.757663,200,17044.710532
-29.736769,200,17093.328863
-28.955509,200,17141.088362
-29.837305,200,17189.142728
-23.865467,200,17264.767337
-29.753799,200,17313.062181
-30.861221,200,17362.130014
-26.939155,200,17411.053305
-29.003928,200,17458.776298
-29.233235,200,17620.284308
-29.175197,200,17669.338319
-30.098659,200,17718.00809
-30.314773,200,17766.393727
-36.328366,200,17814.011857
-30.676055,200,17862.554491
-29.959818,200,18004.162978
-29.940552,200,18053.0028
-26.255465,200,18100.965985
-30.735069,200,18150.534866
-27.311711,200,18308.377251
-30.054395,200,18356.679247
-33.065578,200,18405.157159
-29.115522,200,18453.144351
-28.487705,200,18502.274219
-30.550883,200,18551.212512
-30.10438,200,18699.574984
-29.357516,200,18748.879839
-28.221002,200,18797.703094
-27.553462,200,18846.596556
-28.592731,200,19010.285247
-33.916436,200,19059.317536
-25.271482,200,19109.127487
-30.51165,200,19157.796053
-28.976702,200,19205.812973
-26.674845,200,19254.411381
-31.337597,200,19354.131729
-28.46907,200,19402.538855
-33.642396,200,19451.525639
-29.375834,200,19500.33097
-28.852308,200,19660.041337
-31.301518,200,19709.565337
-28.180666,200,19758.480898
-28.207678,200,19807.955064
-29.393883,200,19856.511453
-29.347116,200,19905.365043
-35.819564,200,20065.832458
-29.165168,200,20114.279886
-28.573728,200,20163.248444
-25.173493,200,20211.486758
-27.821248,200,20370.184684
-29.557217,200,20418.704426
-32.264822,200,20467.447305
-27.96929,200,20515.941348
-26.777701,200,20564.857917
-34.587301,200,20613.296944
-25.664975,200,20813.991851
-33.594811,200,20862.640882
-26.086821,200,20911.68151
-29.030839,200,20961.661951
-25.279727,200,21125.187635
-26.980786,200,21173.877329
-35.385133,200,21221.620004
-27.156625,200,21270.055824
-29.673834,200,21319.500296
-31.577948,200,21367.848769
-30.718499,200,21417.097103
-33.463503,200,21565.952746
-28.243425,200,21614.314619
-31.160893,200,21662.775843
-27.863953,200,21826.32757
-30.586708,200,21874.227197
-29.409718,200,21923.621026
-28.22839,200,21972.071123
-28.140703,200,22021.188559
-22.79658,200,22069.584224
-26.006092,200,22119.020649
-28.142081,200,22276.504153
-22.714796,200,22324.619728
-30.618197,200,22374.317219
-27.260303,200,22534.267386
-30.441064,200,22582.525166
-27.948,200,22631.700931
-29.749846,200,22680.515362
-26.767295,200,22728.957317
-25.033019,200,22776.980546
-27.094251,200,22825.461654
-33.015758,200,22882.345318
-49.832987,200,22930.795881
-32.085205,200,22979.013036
-33.169266,200,23140.34892
-29.247788,200,23189.077914
-28.131737,200,23236.696576
-33.045452,200,23285.838436
-26.30853,200,23333.830576
-34.120528,200,23382.448536
-29.513356,200,23431.00862
-28.651724,200,23515.413517
-28.893169,200,23564.682225
-29.472585,200,23614.208979
-27.100258,200,23781.781926
-28.522176,200,23830.726573
-27.527727,200,23879.333215
-27.108855,200,23927.40221
-30.821078,200,23975.795655
-33.513133,200,24024.467031
-29.530071,200,24073.595698
-28.231352,200,24122.780891
-27.081077,200,24272.601141
-27.492408,200,24321.162643
-31.021212,200,24486.622686
-32.12488,200,24536.056792
-30.660982,200,24585.033486
-28.470994,200,24633.743681
-26.079329,200,24681.650512
-28.564146,200,24730.692713
-25.849092,200,24779.294053
-27.066375,200,24827.573048
-32.435278,200,25004.827206
-24.971372,200,25053.69433
-21.060853,200,25218.89698
-28.239598,200,25267.239042
-26.381066,200,25316.160494
-31.180924,200,25365.195194
-27.124448,200,25413.577427
-32.842038,200,25462.450159
-30.214625,200,25511.980986
-30.062474,200,25560.697193
-28.539218,200,25646.867462
-28.106147,200,25695.744602
-26.9811,200,25860.254831
-24.306637,200,25909.064966
-28.893704,200,25958.053004
-30.321482,200,26006.269616
-28.987937,200,26055.001472
-31.940806,200,26103.400212
-28.633652,200,26152.064039
-28.294377,200,26200.723311
-29.93638,200,26421.442378
-25.423809,200,26469.788645
-25.506858,200,26628.460391
-30.135545,200,26677.507049
-27.718577,200,26726.349137
-25.146356,200,26776.215497
-26.153858,200,26824.678351
-26.656195,200,26873.669017
-29.692986,200,26922.292086
-24.885581,200,26970.794688
-23.81361,200,27019.064208
-28.400235,200,27132.745366
-26.378496,200,27294.695754
-27.596381,200,27343.721534
-25.818663,200,27393.288243
-31.379433,200,27441.573075
-25.831588,200,27490.373894
-28.879282,200,27539.759649
-29.461364,200,27588.51386
-28.362462,200,27637.226578
-28.235505,200,27686.201135
-27.210103,200,27791.888569
-28.898601,200,27954.361424
-27.287582,200,28003.238665
-24.424702,200,28051.87874
-26.244819,200,28100.498976
-25.019924,200,28150.040864
-25.172943,200,28198.993916
-26.829321,200,28247.914526
-32.76577,200,28296.776177
-31.072323,200,28345.385117
-26.475643,200,28576.846774
-28.505034,200,28742.712376
-30.106939,200,28791.131067
-31.439407,200,28839.217238
-30.973236,200,28888.694568
-29.830254,200,28937.403428
-31.066003,200,28985.935602
-27.712624,200,29034.647069
-25.523406,200,29083.547321
-25.781347,200,29131.561341
-27.16148,200,29342.011715
-28.523377,200,29501.303693
-27.691488,200,29549.322886
-68.417248,200,29597.533476
-28.138862,200,29645.942025
-28.9916,200,29694.604951
-31.688711,200,29743.017761
-29.96994,200,29791.520708
-24.962019,200,29840.473041
-30.598412,200,29889.087643
-28.989431,200,29938.080521
-25.455101,200,30178.890169
-24.473556,200,30228.024989
-26.472399,200,30276.824161
-24.619953,200,30325.812058
-24.869073,200,30374.639844
-29.521469,200,30424.282333
-26.999006,200,30473.434315
-28.493761,200,30522.88163
-25.389952,200,30571.04899
-29.208931,200,30620.486793
-28.356968,200,30966.362028
-24.369823,200,31015.573875
-29.379054,200,31064.060591
-26.407793,200,31112.640952
-25.674765,200,31162.32714
-25.344065,200,31211.759351
-27.431643,200,31260.142053
-30.072173,200,31309.579577
-29.010413,200,31359.67877
-31.522911,200,31407.436893
-26.761476,200,31651.29232
-27.35487,200,31700.564586
-23.067712,200,31748.454672
-27.338769,200,31795.937835
-21.511576,200,31844.934963
-25.440095,200,31894.347695
-33.301336,200,31943.848326
-28.081214,200,31992.577354
-25.354885,200,32040.768898
-31.939544,200,32089.155115
-26.146378,200,32287.421273
-28.305893,200,32336.304305
-31.079131,200,32384.91917
-25.325515,200,32433.379418
-26.155519,200,32482.925757
-27.728938,200,32532.170952
-25.072842,200,32581.415464
-26.671479,200,32629.987113
-24.644032,200,32678.385048
-26.415394,200,32726.796092
-46.619666,200,32890.023603
-26.912123,200,32949.135884
-24.991342,200,32998.414124
-31.164662,200,33046.967358
-24.466174,200,33096.005227
-33.83244,200,33144.61299
-26.521892,200,33192.672622
-31.590817,200,33241.020444
-27.691237,200,33289.638773
-32.103742,200,33337.115367
-27.705199,200,33501.714287
-28.083421,200,33554.492563
-26.824459,200,33602.482077
-25.203882,200,33651.482448
-29.554869,200,33699.677423
-26.477962,200,33748.633929
-22.781549,200,33796.777037
-30.27426,200,33845.276412
-32.193624,200,33893.908521
-26.918947,200,33942.49333
-28.503737,200,34107.458884
-24.687817,200,34167.532982
-27.90538,200,34216.49342
-23.441465,200,34265.699791
