#{"t_start": 1704790727.8453915, "env_id": "edge_follow-v0"}
r,l,t
-43.225941,200,51.375528
-41.606639,200,99.644539
-47.585454,200,147.735479
-51.46683,200,195.615717
-38.008521,200,242.935953
-46.254606,200,290.385074
-46.628765,200,337.323643
-37.93785,200,385.497563
-48.999901,200,433.902355
-42.576866,200,481.872554
-49.171638,200,803.833456
-55.908725,200,852.363068
-42.54795,200,899.807771
-39.783004,200,946.962725
-42.871723,200,994.88504
-38.141844,200,1041.997501
-38.589371,200,1090.148082
-38.066494,200,1137.946153
-50.047329,200,1185.764951
-36.7943,200,1233.589924
-42.685995,200,1557.422454
-37.873451,200,1605.231333
-38.488516,200,1653.193073
-40.625429,200,1701.110832
-38.02666,200,1749.079589
-34.779892,200,1797.13054
-36.20185,200,1845.06356
-35.568965,200,1893.856292
-36.387172,200,1941.415364
-37.643026,200,1988.707775
-36.801809,200,2861.40213
-38.946474,200,2909.367505
-36.855475,200,2957.734765
-36.597678,200,3006.221322
-36.275624,200,3055.429827
-37.329558,200,3104.691766
-36.125997,200,3153.951947
-37.46437,200,3203.551986
-37.311396,200,3252.072836
-38.277059,200,3300.849111
-37.01977,200,3580.131603
-36.685189,200,3628.549935
-37.292247,200,3676.742278
-36.919508,200,3725.5859
-38.000807,200,3773.629555
-33.815573,200,3822.567788
-37.116098,200,3870.329939
-32.689076,200,3919.218663
-32.597035,200,3968.175311
-30.910845,200,4016.676068
-34.019134,200,4179.177757
-37.356917,200,4293.973997
-38.310067,200,4342.490235
-36.302214,200,4391.19499
-37.365168,200,4439.621938
-33.954471,200,4487.542023
-37.071077,200,4536.0607
-36.724648,200,4584.069783
-37.437056,200,4632.48576
-37.518381,200,4680.892097
-27.962163,200,4843.316092
-29.933515,200,4923.612873
-34.365456,200,4972.340245
-34.979498,200,5020.396905
-34.629788,200,5068.312151
-36.380768,200,5116.366163
-34.70614,200,5167.661942
-35.279296,200,5217.581966
-37.553832,200,5266.935567
-33.368406,200,5315.598085
-34.187633,200,5478.321968
-37.62197,200,5633.38585
-37.9429,200,5681.981744
-31.025462,200,5730.936452
-36.666817,200,5779.377435
-33.646882,200,5827.701989
-33.223884,200,5876.06609
-34.350051,200,5925.519337
-35.182326,200,5974.4755
-33.871867,200,6023.553845
-33.919753,200,6188.378146
-34.268328,200,6333.973215
-29.642782,200,6382.534312
-33.35191,200,6431.369331
-32.948941,200,6480.030025
-35.268075,200,6529.301877
-35.537889,200,6578.469885
-36.732169,200,6627.079391
-34.668116,200,6676.366714
-30.567562,200,6725.005855
-35.624224,200,6891.012774
-36.527792,200,6939.920847
-33.983308,200,7066.494183
-30.465992,200,7115.755002
-35.381056,200,7164.235238
-28.983665,200,7212.794204
-33.221602,200,7260.397851
-33.808601,200,7309.586389
-32.786529,200,7358.422207
-28.702547,200,7408.694147
-30.505589,200,7568.078022
-36.707344,200,7616.858558
-32.449544,200,7710.734902
-34.520876,200,7759.856553
-36.772104,200,7807.556811
-34.50822,200,7856.255229
-32.211146,200,7905.034835
-37.094082,200,7953.762126
-31.365155,200,8002.012174
-34.103707,200,8050.745869
-32.298783,200,8212.346786
-37.229749,200,8261.070206
-31.593136,200,8403.842017
-31.335009,200,8452.815541
-27.358151,200,8501.693794
-33.040365,200,8549.881718
-35.070234,200,8599.544478
-36.292526,200,8648.540068
-32.575939,200,8697.064419
-32.638816,200,8746.057811
-29.733434,200,8900.20277
-32.729181,200,8947.784494
-33.606308,200,9040.522088
-36.138201,200,9088.774805
-29.004231,200,9137.713783
-31.453276,200,9186.564293
-31.956807,200,9234.786464
-33.074977,200,9283.210334
-29.776135,200,9332.426057
-34.9956,200,9381.060884
-29.889731,200,9541.841858
-34.300759,200,9590.110117
-29.248055,200,9638.332637
-35.788881,200,9700.889478
-28.368364,200,9749.838323
-33.577441,200,9798.083333
-31.273083,200,9846.593515
-32.913212,200,9894.955475
-37.591568,200,9943.777703
-29.033909,200,9992.810105
-34.269059,200,10153.837856
