#{"t_start": 1704790728.7010212, "env_id": "edge_follow-v0"}
r,l,t
-38.681702,200,50.503387
-55.774308,200,98.736744
-45.353496,200,146.872873
-51.634178,200,194.694553
-43.365724,200,242.083999
-42.013008,200,289.534306
-39.574504,200,336.507454
-41.175931,200,384.596162
-45.142485,200,433.046726
-47.264711,200,480.99657
-44.503869,200,802.971822
-53.807133,200,851.512571
-52.441819,200,898.858662
-38.750966,200,946.103582
-40.341184,200,994.013866
-37.199874,200,1041.141613
-40.491408,200,1089.236939
-39.008929,200,1137.105937
-37.555479,200,1184.833567
-41.036835,200,1232.686033
-57.984077,200,1556.552024
-37.065411,200,1604.370883
-39.501088,200,1652.311499
-47.156477,200,1700.221228
-38.222163,200,1748.139464
-36.903413,200,1796.266588
-35.484354,200,1844.193919
-38.141272,200,1893.007044
-38.767765,200,1940.551785
-36.839117,200,1987.840003
-37.414248,200,2860.490644
-37.967467,200,2908.505035
-36.925781,200,2956.75919
-37.997072,200,3005.37547
-38.233024,200,3054.532863
-36.063877,200,3103.846219
-35.96561,200,3153.034496
-37.627724,200,3202.597374
-37.387954,200,3251.14205
-34.667374,200,3299.973276
-35.757768,200,3579.180665
-37.871169,200,3627.551505
-36.551393,200,3675.824319
-31.021089,200,3724.721888
-35.195054,200,3772.669432
-35.010391,200,3821.591784
-36.446919,200,3869.467263
-36.243993,200,3918.350621
-36.64618,200,3967.244439
-33.29031,200,4015.725346
-36.039188,200,4178.31836
-34.762187,200,4293.077956
-33.697416,200,4341.548289
-34.748392,200,4390.310365
-37.058829,200,4438.770578
-37.050475,200,4486.686413
-35.858257,200,4535.192547
-34.378323,200,4583.209477
-30.431597,200,4631.578313
-36.140415,200,4680.042219
-35.962865,200,4842.375224
-37.187192,200,4922.637603
-34.44084,200,4971.470766
-34.860657,200,5019.52879
-30.002054,200,5067.456558
-35.897104,200,5115.51054
-34.103748,200,5166.694001
-35.597904,200,5216.703787
-36.272647,200,5266.037746
-35.753254,200,5314.73039
-35.166456,200,5477.378168
-34.758465,200,5632.532386
-34.764139,200,5681.095683
-36.068241,200,5730.052973
-35.960481,200,5778.523314
-36.934411,200,5826.843037
-36.869477,200,5875.200879
-32.737251,200,5924.582072
-27.42119,200,5973.632444
-37.41033,200,6022.706244
-34.246853,200,6187.529268
-35.17373,200,6333.144127
-33.199853,200,6381.678668
-33.723283,200,6430.486317
-31.436082,200,6479.174433
-36.50654,200,6528.378157
-31.88652,200,6577.598255
-34.077329,200,6626.216141
-34.518019,200,6675.458233
-31.435459,200,6724.142554
-31.317525,200,6890.186685
-30.397399,200,6939.074404
-35.366234,200,7065.562429
-31.047802,200,7114.768748
-37.219736,200,7163.382206
-36.420002,200,7211.866415
-33.080219,200,7259.440229
-32.943757,200,7308.734181
-28.177571,200,7357.570369
-30.860664,200,7407.807497
-28.592983,200,7567.174541
-30.837791,200,7616.002395
-32.828894,200,7709.887163
-34.182897,200,7759.002058
-36.66248,200,7806.693135
-32.778213,200,7855.354768
-33.326804,200,7904.18217
-33.610144,200,7952.918206
-33.385398,200,8001.083591
-34.04365,200,8049.83973
-33.763576,200,8211.491154
-35.009107,200,8260.167347
-36.636385,200,8402.971921
-29.437158,200,8451.925674
-30.171951,200,8500.798493
-30.717619,200,8549.018198
-27.677138,200,8598.592021
-30.372168,200,8647.707513
-33.451284,200,8696.211865
-31.177554,200,8745.130435
-35.451419,200,8899.334601
-30.903377,200,8946.917272
-36.916125,200,9039.644073
-33.08702,200,9087.84645
-29.195807,200,9136.854496
-30.49974,200,9185.70383
-32.841403,200,9233.926345
-30.399009,200,9282.308318
-34.309039,200,9331.551382
-37.501871,200,9380.214642
-32.521264,200,9540.994116
-33.946805,200,9589.235818
-29.695364,200,9637.434215
-30.817809,200,9699.989266
-34.258951,200,9748.968735
-30.432591,200,9797.113913
-34.625904,200,9845.688161
-32.16706,200,9894.023146
-35.116453,200,9942.917566
-28.867408,200,9991.958774
-35.691567,200,10152.982457
-31.424215,200,10201.87393
-33.531454,200,10251.100578
-35.340826,200,10369.074468
-36.649816,200,10418.098868
-30.889955,200,10466.533701
-31.538393,200,10514.327463
-33.298981,200,10564.04794
-32.594569,200,10612.793796
-30.403417,200,10661.63112
-34.988726,200,10823.088191
-33.551001,200,10871.957927
-30.408971,200,10920.454727
-30.603156,200,11093.169598
-32.780481,200,11141.691127
-32.616311,200,11190.62673
-31.656408,200,11239.630456
-30.685618,200,11288.453844
-32.642168,200,11336.836696
-35.667282,200,11385.176399
-36.421737,200,11548.114383
-30.395104,200,11597.154478
-31.309941,200,11646.340981
-30.201027,200,11707.103509
-30.984851,200,11755.766627
-36.357786,200,11804.856669
-31.787815,200,11853.98834
-36.534222,200,11903.495207
-35.366871,200,11951.673233
-25.04261,200,11999.65906
-34.281908,200,12165.297428
-31.139002,200,12214.154401
-34.789159,200,12263.047974
-30.270766,200,12311.958248
-28.116732,200,12464.254222
-30.95645,200,12513.290503
-26.866861,200,12561.871248
-32.339654,200,12609.730103
-35.780079,200,12657.720499
-34.902702,200,12705.785227
-30.743716,200,12863.664876
-32.288437,200,12911.745694
-31.12194,200,12960.365968
-30.35553,200,13010.018082
-33.932343,200,13094.446417
-29.577967,200,13142.042534
-28.570958,200,13191.127259
-31.647601,200,13239.822571
-30.798476,200,13289.04324
-24.103224,200,13337.985194
-33.473584,200,13498.813238
-37.428094,200,13547.917575
-33.353766,200,13596.854167
-32.757044,200,13645.836177
-32.389567,200,13785.042084
-34.252767,200,13833.266964
-27.81243,200,13881.806606
-35.166973,200,13930.995616
-32.774058,200,13979.468866
-27.550111,200,14029.688523
-33.891877,200,14198.921099
-27.309112,200,14247.406524
-30.059746,200,14295.89762
-31.304234,200,14344.605111
-35.950832,200,14469.632889
-30.292714,200,14518.079334
-30.277511,200,14566.807145
-27.204539,200,14616.029062
-29.918406,200,14665.079122
-34.329583,200,14714.150104
-25.266824,200,14873.8417
-34.921807,200,14922.967175
-29.109658,200,14971.716417
-30.767095,200,15019.614362
-32.000573,200,15068.487814
-34.974734,200,15210.80378
-33.669077,200,15259.362693
-27.516354,200,15308.673774
-30.105153,200,15358.214404
-30.339538,200,15406.525764
-28.804733,200,15570.954387
-25.969788,200,15619.552067
-31.389529,200,15668.321436
-29.733585,200,15716.747311
-30.788311,200,15765.887491
-29.972356,200,15871.704024
-32.175195,200,15920.390552
-35.932271,200,15969.944681
-26.000995,200,16018.742126
-29.101888,200,16067.442181
-28.548424,200,16226.896725
-29.826573,200,16275.74625
-31.07393,200,16324.298415
-31.080146,200,16371.900409
-28.915148,200,16421.11501
-32.847872,200,16635.647906
-28.951064,200,16684.385525
-29.634671,200,16733.895257
-29.426222,200,16782.530395
-34.127863,200,16831.410125
-32.288275,200,16996.680469
-30.658399,200,17044.543867
-28.188208,200,17093.160691
-25.687464,200,17140.780681
-27.048806,200,17188.922904
-28.983472,200,17264.561023
-31.67753,200,17312.776531
-35.066572,200,17361.918219
-27.21461,200,17410.816557
-29.36796,200,17458.566573
-32.125177,200,17620.03815
-29.34708,200,17669.099724
-33.003714,200,17717.783394
-30.048426,200,17766.230395
-30.143473,200,17813.79675
-30.109786,200,17862.320727
-27.433667,200,18003.926831
-30.318835,200,18052.852791
-26.266615,200,18100.739461
-27.868251,200,18150.278541
-30.43543,200,18308.16218
-30.453575,200,18356.541446
-26.480211,200,18404.917564
-30.526693,200,18452.937318
-33.060654,200,18502.069023
-30.384811,200,18550.999745
-30.147017,200,18699.323763
-28.950671,200,18748.714455
-27.017992,200,18797.529268
-30.376668,200,18846.34865
-26.126068,200,19010.05958
-29.313868,200,19059.096692
-30.524555,200,19108.862157
-28.837015,200,19157.589656
-37.050201,200,19205.623704
-28.75815,200,19254.17021
-29.635463,200,19353.898145
-27.487851,200,19402.379992
-33.409375,200,19451.302648
-29.98488,200,19500.180461
-30.259843,200,19659.778249
-32.582705,200,19709.346555
-30.927859,200,19758.311608
-24.604063,200,19807.833768
-26.212606,200,19856.318183
-30.302125,200,19905.216399
-28.663119,200,20065.677379
-29.182592,200,20114.102779
-32.406663,200,20163.02874
-31.12665,200,20211.2656
-29.327667,200,20370.041003
-28.422382,200,20418.444477
-30.781441,200,20467.253442
-29.097058,200,20515.706201
-29.149592,200,20564.646464
-30.225633,200,20613.101451
-29.572533,200,20813.82548
-25.64315,200,20862.441704
-28.305126,200,20911.437742
-31.081315,200,20961.460594
-25.319088,200,21124.925639
-26.151409,200,21173.738558
-26.081284,200,21221.48245
-31.150769,200,21269.891515
-29.837139,200,21319.269733
-27.816621,200,21367.683677
-27.711829,200,21416.978759
-28.705665,200,21565.760118
-28.727809,200,21614.077801
-31.284954,200,21662.571455
-32.104841,200,21826.132646
-30.799025,200,21874.02587
-26.863395,200,21923.394475
-30.842947,200,21971.867057
-27.832249,200,22020.903666
-26.739907,200,22069.350061
-29.684951,200,22118.874228
-26.450863,200,22276.312906
-28.780981,200,22324.384764
-27.024105,200,22374.106232
-28.749475,200,22534.019895
-25.511995,200,22582.293078
-28.449797,200,22631.545062
-29.570741,200,22680.369843
-29.433986,200,22728.764832
-28.714441,200,22776.820922
-27.560293,200,22825.262646
-28.001337,200,22882.122368
-58.83767,200,22930.568022
-26.325027,200,22978.790375
-25.999966,200,23140.083211
-31.246866,200,23188.946109
-29.5687,200,23236.549678
-26.404726,200,23285.696264
-32.151345,200,23333.600295
-28.719967,200,23382.323398
-33.341917,200,23430.814451
-27.55104,200,23515.240831
-25.098914,200,23564.495424
-27.652412,200,23614.069574
-25.746532,200,23781.666193
-32.835822,200,23830.557423
-27.274036,200,23879.217668
-27.039136,200,23927.204513
-30.33159,200,23975.566646
-33.370555,200,24024.252451
-33.594193,200,24073.354913
-30.071242,200,24122.53165
-27.376931,200,24272.442947
-27.216718,200,24320.950089
-25.214313,200,24486.501328
-27.966298,200,24535.815796
-26.508941,200,24584.851914
-33.191326,200,24633.522365
-33.3702,200,24681.477432
-28.843213,200,24730.50732
-29.008613,200,24779.123102
-30.147362,200,24827.402463
-26.423923,200,25004.61117
-27.567606,200,25053.510302
-25.98945,200,25218.775967
-25.69269,200,25267.033487
-23.55887,200,25315.918321
-28.471401,200,25365.035366
-24.549887,200,25413.346885
-23.948898,200,25462.302505
-30.213862,200,25511.828632
-28.354979,200,25560.502126
-24.947855,200,25646.660609
-25.310982,200,25695.513401
-25.831905,200,25860.006542
-25.779527,200,25908.926235
-29.300052,200,25957.894919
-30.145739,200,26006.073658
-29.29079,200,26054.73099
-28.995364,200,26103.276532
-34.446438,200,26151.832159
-26.855171,200,26200.467483
-31.335591,200,26421.206105
-23.166229,200,26469.643956
-29.70909,200,26628.306871
-32.454694,200,26677.347658
-28.204222,200,26726.089273
-25.322092,200,26776.082191
-30.381087,200,26824.464917
-28.318061,200,26873.499439
-27.169786,200,26922.126819
-26.40502,200,26970.542269
-29.481858,200,27018.89395
-29.711125,200,27132.59415
-33.755312,200,27294.512707
-27.411689,200,27343.567373
-26.796985,200,27393.149341
-27.844974,200,27441.433235
-27.535362,200,27490.230086
-29.033201,200,27539.512087
-44.736913,200,27588.325315
-28.931726,200,27637.085956
-25.416341,200,27686.085327
-23.578364,200,27791.641005
-27.930847,200,27954.162221
-26.584536,200,28003.010258
-26.32759,200,28051.680135
-34.160413,200,28100.298042
-31.014589,200,28149.788487
-28.266821,200,28198.764021
-24.824381,200,28247.747784
-32.595445,200,28296.546573
-26.224314,200,28345.278364
-26.316604,200,28576.642133
-28.40066,200,28742.560836
-30.37204,200,28790.912191
-30.268973,200,28838.983457
-26.044146,200,28888.515352
-27.552234,200,28937.212961
-28.1106,200,28985.696517
-29.212548,200,29034.382166
-29.054755,200,29083.29961
-25.921394,200,29131.390167
-27.608703,200,29341.790237
-26.995362,200,29501.09813
-26.011582,200,29549.180406
-33.834332,200,29597.330159
-31.572769,200,29645.751058
-27.304682,200,29694.374185
-27.009006,200,29742.781127
-23.956036,200,29791.266835
-31.457629,200,29840.219722
-25.159017,200,29888.930625
-25.995676,200,29938.048666
-28.164645,200,30178.771973
-25.472519,200,30227.863713
-29.961836,200,30276.589445
-29.189926,200,30325.654184
-27.392509,200,30374.426061
-28.9802,200,30424.071897
-29.50605,200,30473.191304
-27.400114,200,30522.706051
