#{"t_start": 1704790728.6886904, "env_id": "edge_follow-v0"}
r,l,t
-41.743579,200,50.535954
-42.535489,200,98.739212
-49.742745,200,146.888353
-45.454462,200,194.705923
-62.312044,200,242.043415
-40.673984,200,289.502416
-41.643854,200,336.474895
-40.064645,200,384.606863
-48.539901,200,433.007529
-41.506244,200,481.047932
-46.741183,200,802.976209
-41.800463,200,851.505154
-36.99006,200,898.877496
-40.501604,200,946.104277
-41.13114,200,993.996578
-44.559787,200,1041.15418
-47.067443,200,1089.246472
-52.14808,200,1137.214804
-39.006183,200,1184.837221
-39.241421,200,1232.65227
-40.507715,200,1556.514984
-35.427245,200,1604.392243
-37.594144,200,1652.317868
-38.623687,200,1700.186326
-39.272827,200,1748.145648
-38.717059,200,1796.200473
-37.803271,200,1844.20625
-37.975835,200,1893.011698
-37.088487,200,1940.557719
-37.251028,200,1987.838029
-38.214701,200,2860.544315
-38.454988,200,2908.492182
-39.313384,200,2956.775227
-35.731776,200,3005.37467
-38.166172,200,3054.534843
-36.52412,200,3103.853685
-36.691195,200,3153.039344
-39.866225,200,3202.594455
-39.081473,200,3251.146644
-37.276364,200,3299.97732
-37.88134,200,3579.166287
-35.565108,200,3627.566483
-38.864708,200,3675.833188
-37.473677,200,3724.738827
-35.451903,200,3772.727585
-35.70938,200,3821.610573
-32.215,200,3869.466464
-36.944348,200,3918.273522
-37.437524,200,3967.325756
-35.990731,200,4015.784043
-36.684516,200,4178.279894
-35.826696,200,4293.078059
-37.799196,200,4341.566089
-48.573492,200,4390.377695
-33.641745,200,4438.770532
-35.097399,200,4486.685503
-36.296936,200,4535.138696
-36.675962,200,4583.21832
-34.841863,200,4631.552508
-36.574039,200,4679.938619
-36.628749,200,4842.378367
-33.406681,200,4922.653168
-34.266023,200,4971.438693
-34.071861,200,5019.558766
-35.80413,200,5067.463134
-35.793453,200,5115.520973
-33.788919,200,5166.702848
-33.633488,200,5216.711372
-36.77567,200,5266.056291
-26.136445,200,5314.73665
-33.331356,200,5477.38652
-36.207113,200,5632.529853
-36.239772,200,5681.106142
-36.684949,200,5730.046432
-32.381851,200,5778.535289
-35.738509,200,5826.81865
-33.767465,200,5875.207053
-36.448515,200,5924.58699
-33.635108,200,5973.582644
-33.55291,200,6022.705177
-32.358435,200,6187.531404
-32.163861,200,6333.10681
-31.813503,200,6381.686697
-30.924291,200,6430.491806
-34.823363,200,6479.169355
-35.690065,200,6528.398975
-33.285799,200,6577.603964
-29.816097,200,6626.174413
-32.758878,200,6675.465244
-35.48714,200,6724.153726
-33.79984,200,6890.097569
-31.871491,200,6939.02137
-33.702947,200,7065.496833
-32.927892,200,7114.804522
-32.06221,200,7163.371772
-33.207972,200,7211.884848
-29.094687,200,7259.460792
-30.78952,200,7308.742597
-31.861131,200,7357.666934
-35.014647,200,7407.779181
-26.995792,200,7567.149145
-36.027421,200,7616.013665
-34.452726,200,7709.914534
-30.60357,200,7759.017483
-33.266578,200,7806.700035
-32.225881,200,7855.376014
-34.67199,200,7904.189875
-34.991265,200,7952.934777
-33.048544,200,8001.095997
-31.047837,200,8049.795984
-31.496647,200,8211.432007
-34.930272,200,8260.182072
-34.537347,200,8402.97289
-34.436336,200,8451.945704
-36.409977,200,8500.781619
-29.273867,200,8549.020818
-32.762649,200,8598.574738
