#{"t_start": 1704790727.2921202, "env_id": "edge_follow-v0"}
r,l,t
-48.934326,200,51.914592
-47.474683,200,100.088824
-46.63112,200,148.276345
-38.317221,200,196.025963
-38.717087,200,243.411908
-37.526183,200,290.851816
-43.874662,200,337.846315
-61.753339,200,386.005004
-42.380596,200,434.348489
-40.962472,200,482.365565
-50.885928,200,804.294636
-37.558645,200,852.856142
-49.621575,200,900.243754
-40.608216,200,947.431708
-42.43421,200,995.40058
-47.108966,200,1042.545935
-40.726598,200,1090.635912
-43.891271,200,1138.61423
-48.775545,200,1186.236622
-43.964295,200,1233.995763
-38.802507,200,1557.920456
-39.702284,200,1605.775969
-39.358401,200,1653.608834
-37.165973,200,1701.552009
-39.669905,200,1749.533968
-42.351508,200,1797.556787
-37.13929,200,1845.51717
-37.503283,200,1894.424659
-45.40358,200,1941.945673
-37.569945,200,1989.229873
-37.984187,200,2861.889978
-36.816305,200,2909.85944
-35.626777,200,2958.150793
-35.518287,200,3006.768794
-33.702308,200,3055.892433
-35.96152,200,3105.193996
-37.813397,200,3154.422108
-37.766694,200,3203.981359
-37.119344,200,3252.51047
-37.659683,200,3301.357337
-36.613643,200,3580.489566
-36.864955,200,3628.957355
-36.634451,200,3677.228502
-29.898145,200,3726.124192
-36.886334,200,3774.077962
-36.508641,200,3822.985089
-35.050341,200,3870.829073
-36.277069,200,3919.57499
-36.551216,200,3968.654408
-36.819032,200,4017.183399
-36.151107,200,4179.67937
-38.16491,200,4294.413452
-35.585561,200,4342.900671
-37.861233,200,4391.712194
-52.66578,200,4440.092805
-35.59862,200,4488.086643
-35.853007,200,4536.467017
-37.244164,200,4584.60896
-35.739844,200,4632.856226
-36.737037,200,4681.30453
-35.054372,200,4843.751586
-35.805288,200,4924.003056
-35.92853,200,4972.786293
-36.820356,200,5020.839241
-35.571381,200,5068.733202
-36.432065,200,5116.831869
-35.961332,200,5168.079551
-37.785225,200,5217.973111
-35.058224,200,5267.442666
-34.830229,200,5316.067184
-35.896474,200,5478.776055
-36.047914,200,5633.922558
-36.728691,200,5682.481247
-34.229791,200,5731.388947
-34.529485,200,5779.934975
-34.421485,200,5828.210629
-33.674824,200,5876.516703
-38.526566,200,5925.994398
-36.615296,200,5974.964964
-37.910667,200,6024.030525
-35.462028,200,6188.917923
-31.403222,200,6334.392704
-35.021624,200,6383.006916
-31.780329,200,6431.88733
-35.225295,200,6480.542503
-33.079127,200,6529.688323
-35.875219,200,6578.904814
-36.576566,200,6627.504348
-35.93448,200,6676.85372
-31.376698,200,6725.548652
-34.908463,200,6891.490636
-34.370145,200,6940.379744
-32.724335,200,7066.877962
-36.825094,200,7116.182996
-35.5332,200,7164.651877
-31.263363,200,7213.262228
-32.614995,200,7260.839692
-29.680181,200,7310.146026
-36.025483,200,7358.964848
-34.642211,200,7409.120732
-36.293984,200,7568.53512
-32.966686,200,7617.310958
-29.545663,200,7711.269949
-32.726153,200,7760.348312
-31.380244,200,7808.012641
-27.346555,200,7856.760095
-32.808766,200,7905.501631
-36.416341,200,7954.307749
-32.408263,200,8002.455218
-36.639563,200,8051.173628
-35.807484,200,8212.812961
-27.835165,200,8261.498179
-31.22207,200,8404.314857
-31.33116,200,8453.33937
-36.762225,200,8502.078421
-28.962725,200,8550.442382
-34.620255,200,8599.965008
-30.62987,200,8649.012683
-32.568107,200,8697.493176
-36.56627,200,8746.4318
-29.89636,200,8900.737935
-37.53576,200,8948.321046
-35.872794,200,9040.978592
-36.040216,200,9089.191268
-29.349231,200,9138.210632
-35.722079,200,9187.074788
-34.852163,200,9235.237522
-31.036641,200,9283.722231
-31.646269,200,9332.871013
-30.202262,200,9381.527118
-36.022203,200,9542.351526
-33.462089,200,9590.63109
-30.745566,200,9638.839627
-25.979951,200,9701.27944
-34.187562,200,9750.312654
-29.541734,200,9798.421849
-33.441518,200,9847.049865
-35.030584,200,9895.359522
-36.392774,200,9944.183983
-33.686671,200,9993.264525
-32.452325,200,10154.281886
-32.865105,200,10203.177387
-37.282994,200,10252.45394
-35.408514,200,10370.407371
-35.449498,200,10419.51207
-30.953849,200,10467.902431
-35.302259,200,10515.672392
-35.345737,200,10565.441555
-33.470052,200,10614.180902
-30.414062,200,10663.049887
-32.700886,200,10824.489101
-34.007762,200,10873.366905
-29.795289,200,10921.807888
-31.761733,200,11094.522887
-28.13937,200,11143.043722
-32.273103,200,11192.021317
-31.369039,200,11241.028767
-26.767801,200,11289.819824
-27.368935,200,11338.21736
-29.184813,200,11386.504169
-30.312892,200,11549.518605
-31.65484,200,11598.446629
-31.743583,200,11647.748077
-36.454858,200,11708.479498
-34.652946,200,11757.098976
-33.466035,200,11806.163454
-30.115103,200,11855.379099
-32.152082,200,11904.851191
-31.459099,200,11953.065502
-34.819835,200,12001.015308
-28.47676,200,12166.621608
-28.32111,200,12215.559124
-34.066817,200,12264.456985
-33.13872,200,12313.355839
-31.242967,200,12465.633239
-32.127163,200,12514.647485
-32.738568,200,12563.243169
-28.922301,200,12611.083319
-35.103845,200,12659.079362
-29.862062,200,12707.175274
-28.419325,200,12865.058964
-34.728566,200,12913.125541
-35.673432,200,12961.766532
-25.766043,200,13011.410214
-34.538047,200,13095.784669
-26.651213,200,13143.460495
-31.432582,200,13192.543189
-32.078131,200,13241.215872
-32.423103,200,13290.445062
-28.742828,200,13339.375658
-32.428551,200,13500.218936
-28.401555,200,13549.233424
-25.261685,200,13598.257246
-34.166176,200,13647.185082
-25.030736,200,13786.384471
-31.756358,200,13834.669082
-33.110337,200,13883.074104
-28.882464,200,13932.368436
-32.184932,200,13980.869948
-27.773192,200,14031.026517
-33.884941,200,14200.30051
-26.202056,200,14248.805591
-32.550142,200,14297.29907
-33.166006,200,14345.93522
-31.947753,200,14471.006644
-28.709272,200,14519.480312
-28.655887,200,14568.151444
-26.857413,200,14617.397558
-27.279553,200,14666.394924
-34.253495,200,14715.458807
-30.932805,200,14875.165778
-23.729891,200,14924.409556
-31.647451,200,14973.067456
-28.537198,200,15020.949743
-32.856124,200,15069.842314
-31.279717,200,15212.177637
-28.522922,200,15260.761895
-32.69412,200,15309.975717
-32.054053,200,15359.507379
-28.639351,200,15407.893408
-27.427345,200,15572.293055
-30.594229,200,15620.879852
-27.976197,200,15669.734302
-30.20984,200,15718.151455
-32.609134,200,15767.294267
-26.838807,200,15873.089021
-33.76137,200,15921.73726
-30.699402,200,15971.330169
-31.27494,200,16020.120214
-33.691548,200,16068.850489
-30.204468,200,16228.267648
-31.215443,200,16277.051654
-29.10261,200,16325.694632
-27.914071,200,16373.305087
-30.187116,200,16422.518857
-25.032004,200,16636.993118
-35.485909,200,16685.781583
-31.727782,200,16735.189625
-28.868485,200,16783.909457
-30.785066,200,16832.810855
-27.958622,200,16998.003422
-29.700895,200,17045.944668
-32.724029,200,17094.575085
-42.661087,200,17142.257447
-29.352828,200,17190.315762
-29.460096,200,17265.919036
-29.481283,200,17314.153043
-29.254321,200,17363.319682
-26.590402,200,17412.170376
-27.964463,200,17459.886102
-29.155872,200,17621.410897
-31.147412,200,17670.49705
-30.513893,200,17719.108412
-29.811729,200,17767.583983
-33.492309,200,17815.168658
-32.508254,200,17863.702839
-30.582082,200,18005.258427
-29.611326,200,18054.128769
-33.201825,200,18102.120713
-30.24358,200,18151.673764
-27.939496,200,18309.521568
-30.555145,200,18357.859231
-28.026622,200,18406.304512
-32.38417,200,18454.300713
-30.27438,200,18503.387371
-28.306973,200,18552.386794
-27.584805,200,18700.736406
-28.365056,200,18750.079233
-30.615681,200,18798.866938
-31.271629,200,18847.751368
-32.621095,200,19011.44334
-30.968923,200,19060.502221
-33.555865,200,19110.252199
-26.958156,200,19158.925353
-27.786544,200,19207.029728
-32.222334,200,19255.554779
-32.212159,200,19355.314597
-28.644934,200,19403.675963
-28.512559,200,19452.634171
-28.721021,200,19501.539086
-27.925828,200,19661.155156
-29.982415,200,19710.687121
-29.298537,200,19759.65287
-26.51056,200,19809.124249
-28.57954,200,19857.644721
-27.950427,200,19906.628246
-29.640609,200,20066.976451
-28.646838,200,20115.46311
-32.384086,200,20164.414806
-25.767298,200,20212.602505
-28.317402,200,20371.328481
-31.343471,200,20419.791312
-28.09645,200,20468.645998
-25.772402,200,20517.103533
