#{"t_start": 1704790728.6729765, "env_id": "edge_follow-v0"}
r,l,t
-30.346553,200,15920.429231
-31.532907,200,15969.973995
-33.544393,200,16018.745353
-30.172252,200,16067.466401
-30.996217,200,16226.900289
-29.863573,200,16275.714801
-31.188676,200,16324.32372
-23.989698,200,16371.934104
-31.51844,200,16421.161363
-32.387762,200,16635.620674
-31.917552,200,16684.391707
-30.473956,200,16733.855182
-36.281391,200,16782.532347
-31.848494,200,16831.432542
-30.634239,200,16996.646553
-30.472562,200,17044.585226
-29.644253,200,17093.188513
-29.304308,200,17140.802497
-34.059008,200,17188.941618
-27.086566,200,17264.540372
-31.157139,200,17312.794845
-32.604801,200,17361.946511
-30.092442,200,17410.818679
-30.471798,200,17458.580947
-30.703253,200,17620.023985
-32.731075,200,17669.125362
-34.026241,200,17717.804769
-32.023849,200,17766.23325
-27.625483,200,17813.82257
-27.518403,200,17862.331259
-33.233416,200,18003.908478
-29.16243,200,18052.886482
-29.507218,200,18100.758468
-33.345472,200,18150.305008
-31.548529,200,18308.272058
-30.618532,200,18356.498454
-32.137345,200,18404.935128
-29.664524,200,18452.923293
-30.571974,200,18502.092763
-33.569871,200,18551.015898
-27.579101,200,18699.362093
-30.324451,200,18748.714398
-25.456765,200,18797.517873
-29.055634,200,18846.365683
-28.978526,200,19010.070756
-25.595306,200,19059.242494
-25.91748,200,19108.876745
-31.96771,200,19157.546463
-31.727636,200,19205.641305
-24.156482,200,19254.164834
-27.522437,200,19353.91348
-30.357145,200,19402.378331
-27.249964,200,19451.256308
-31.338157,200,19500.214558
-30.584614,200,19659.781566
-31.596263,200,19709.367272
-26.470418,200,19758.282242
-29.556051,200,19807.758029
-26.647059,200,19856.278224
-30.421967,200,19905.269723
-29.566518,200,20065.685351
-27.362744,200,20114.085669
-28.046973,200,20163.048837
-31.885699,200,20211.286399
-29.638994,200,20370.022447
-35.088819,200,20418.572697
-28.84261,200,20467.290236
-26.050196,200,20515.725389
-29.032468,200,20564.662154
-27.397436,200,20613.116464
-26.34573,200,20813.829917
-28.312528,200,20862.451281
-29.954017,200,20911.456795
-29.606255,200,20961.464146
-24.614036,200,21124.922814
-28.101988,200,21173.772856
-28.501688,200,21221.411831
-29.692638,200,21269.843027
-32.355806,200,21319.276529
-30.788741,200,21367.685724
-29.890044,200,21417.014771
-28.702178,200,21565.709627
-29.115939,200,21614.110998
-25.982859,200,21662.582245
-30.060217,200,21826.154358
-28.565786,200,21874.021306
-31.438547,200,21923.416188
-34.256984,200,21971.870195
-28.768058,200,22020.882272
-26.459259,200,22069.330506
-28.109168,200,22118.901444
-27.952307,200,22276.29157
-26.101343,200,22324.410181
-31.267692,200,22374.130305
-34.291906,200,22534.041225
-27.557883,200,22582.296676
-26.348549,200,22631.565825
-29.702198,200,22680.457156
-27.111574,200,22728.739372
-26.691845,200,22776.839255
-28.906672,200,22825.27491
-51.812567,200,22882.130241
-33.241983,200,22930.596067
-33.175762,200,22978.80894
-29.07392,200,23140.114172
-29.968215,200,23188.974261
-27.811361,200,23236.648545
-29.276153,200,23285.634797
-26.800156,200,23333.645841
-27.966281,200,23382.278406
-27.333207,200,23430.82908
-26.853554,200,23515.29062
-28.671635,200,23564.528395
-33.416103,200,23614.093374
-32.53286,200,23781.51813
-26.656589,200,23830.561917
-24.989315,200,23879.211308
-27.783771,200,23927.174762
-32.426936,200,23975.578912
-29.637094,200,24024.262063
-32.60813,200,24073.377271
-26.462993,200,24122.545402
-26.460317,200,24272.386501
-31.184109,200,24320.90234
-29.056983,200,24486.501395
-28.617065,200,24535.837563
-25.475821,200,24584.888661
-26.719363,200,24633.539637
-29.005104,200,24681.487596
-25.878543,200,24730.498395
-22.477929,200,24779.149351
-27.764635,200,24827.430473
-32.684717,200,25004.58085
-26.229659,200,25053.490478
-35.279924,200,25218.698422
-25.935996,200,25267.042242
