#{"t_start": 1704790728.4297466, "env_id": "edge_follow-v0"}
r,l,t
-39.553877,200,50.780513
-39.637102,200,98.994466
-39.958766,200,147.179343
-45.831095,200,194.951436
-45.786352,200,242.259905
-44.660609,200,289.747496
-46.989075,200,336.692932
-52.951993,200,384.882269
-42.148356,200,433.213302
-42.200151,200,481.239344
-42.627016,200,803.228558
-59.196845,200,851.716676
-44.454602,200,899.122848
-37.429592,200,946.357041
-42.015471,200,994.299844
-41.726239,200,1041.404676
-55.8138,200,1089.492226
-36.044647,200,1137.484323
-45.38147,200,1185.098966
-37.439604,200,1232.863237
-40.208448,200,1556.843246
-37.551633,200,1604.628839
-42.898748,200,1652.475681
-37.289092,200,1700.422444
-36.412448,200,1748.394477
-40.467529,200,1796.427005
-34.967037,200,1844.382614
-40.133382,200,1893.283098
-38.416215,200,1940.810177
-37.211961,200,1988.09225
-39.232204,200,2860.757577
-37.177911,200,2908.729783
-37.251271,200,2957.019536
-35.669174,200,3005.635838
-40.800076,200,3054.757414
-34.012648,200,3104.065571
-36.832105,200,3153.278391
-42.24427,200,3202.849519
-38.289721,200,3251.376358
-37.503505,200,3300.254644
-37.751104,200,3579.445845
-32.830461,200,3627.827312
-32.163033,200,3676.101949
-36.244821,200,3725.00267
-37.356583,200,3772.94037
-34.565247,200,3821.861871
-36.203253,200,3869.6931
-32.664364,200,3918.451185
-37.412114,200,3967.601416
-36.563823,200,4016.041454
-36.584327,200,4178.521704
-36.312025,200,4293.281815
-36.321377,200,4341.771853
-39.726674,200,4390.58668
-35.651462,200,4438.995982
-35.631221,200,4486.947974
-35.309041,200,4535.37337
-33.956115,200,4583.47199
-29.282108,200,4631.728468
-36.206928,200,4680.194993
-36.965725,200,4842.639143
-34.791756,200,4922.903291
-35.766383,200,4971.657439
-36.05891,200,5019.699684
-31.769568,200,5067.597481
-38.840648,200,5115.701446
-37.539788,200,5166.953751
-30.008768,200,5216.871003
-31.23678,200,5266.309421
-36.368679,200,5314.9854
-30.989992,200,5477.681875
-36.378351,200,5632.789709
-36.981533,200,5681.349799
-34.687389,200,5730.253227
-37.203972,200,5778.787193
-34.204218,200,5827.053464
-36.820091,200,5875.389467
-34.505399,200,5924.860544
-35.57222,200,5973.830161
-35.125754,200,6022.960642
-34.329404,200,6187.788568
-32.919876,200,6333.244634
-36.522308,200,6381.952678
-36.763448,200,6430.74648
-29.412645,200,6479.430073
-34.797522,200,6528.556358
-30.853264,200,6577.772815
-29.327407,200,6626.393188
-35.28598,200,6675.724188
-35.472737,200,6724.403024
-33.187253,200,6890.443101
-34.876977,200,6939.257427
-33.860119,200,7065.746615
-35.558254,200,7115.050402
-35.434691,200,7163.539411
-31.224658,200,7212.128181
-35.666642,200,7259.691396
-35.029782,200,7308.992508
-36.24581,200,7357.853741
-32.75644,200,7408.027677
-35.148817,200,7567.402692
-33.426477,200,7616.19137
-33.456196,200,7710.140498
-35.220449,200,7759.224447
-33.533525,200,7806.887411
-30.826058,200,7855.62761
-30.727593,200,7904.496318
-34.791981,200,7953.167016
-32.101484,200,8001.3296
-35.708423,200,8050.038339
-31.308412,200,8211.685303
-29.549351,200,8260.364902
-31.562021,200,8403.175434
-32.415129,200,8452.201554
-29.51341,200,8500.982823
-32.808394,200,8549.309423
-35.477049,200,8598.841328
-28.612116,200,8647.873935
-33.337174,200,8696.356604
-34.034742,200,8745.301288
-28.704331,200,8899.583054
-32.726717,200,8947.179086
-32.750087,200,9039.85143
-33.366264,200,9088.046559
-30.63382,200,9137.085742
-27.682381,200,9185.977441
-32.026591,200,9234.117595
-32.426161,200,9282.572723
-35.293723,200,9331.732458
-29.805324,200,9380.39637
-29.894103,200,9541.269547
-27.979219,200,9589.557637
-30.647046,200,9637.705489
-33.00338,200,9700.148007
-36.16701,200,9749.166136
-28.86475,200,9797.284221
-30.096875,200,9845.912239
-27.288988,200,9894.229755
-35.400311,200,9943.087824
-28.429417,200,9992.126723
-32.809563,200,10153.161078
-29.797746,200,10202.042501
-29.641995,200,10251.31574
-27.528115,200,10369.28299
-37.203705,200,10418.381425
-33.673018,200,10466.773458
-30.624483,200,10514.549222
-31.335893,200,10564.306894
-29.538961,200,10613.05777
-30.64812,200,10661.942464
-30.572145,200,10823.358292
-28.422769,200,10872.226166
-33.728689,200,10920.672623
-34.951164,200,11093.426278
-31.055168,200,11141.882808
-29.181848,200,11190.909624
-32.323876,200,11239.897828
-32.168339,200,11288.665585
-30.676348,200,11337.087508
-26.18596,200,11385.364157
-33.610402,200,11548.38385
-32.622327,200,11597.31152
-32.98008,200,11646.604419
-28.627034,200,11707.361668
-36.394085,200,11755.95934
-33.777316,200,11805.028597
-31.448127,200,11854.251557
-34.202935,200,11903.703422
-25.711496,200,11951.946673
-37.126438,200,11999.928044
-33.486014,200,12165.503263
-29.924422,200,12214.410963
-33.030168,200,12263.311616
-35.115314,200,12312.218205
-30.981434,200,12464.518802
-30.105451,200,12513.519226
-35.48428,200,12562.11682
-30.160803,200,12609.967194
-33.382896,200,12658.010844
-33.442844,200,12706.042374
-28.973931,200,12863.933842
-32.5747,200,12911.993885
-29.776147,200,12960.623123
-31.393369,200,13010.199784
-30.280642,200,13094.638113
-30.212121,200,13142.317471
-35.198985,200,13191.393404
-25.694674,200,13240.081605
-34.161727,200,13289.505445
-32.080945,200,13338.243478
-33.349989,200,13499.070531
-31.844865,200,13548.145618
-36.141131,200,13597.115359
-35.367412,200,13646.061856
-29.269511,200,13785.290629
-31.600047,200,13833.529769
-31.096147,200,13881.953657
-37.798132,200,13931.23913
-25.908592,200,13979.732716
-29.617952,200,14029.889152
-24.75035,200,14199.196618
-28.078411,200,14247.672222
-28.746077,200,14296.157465
-30.408746,200,14344.783727
-31.304864,200,14469.875696
-35.709841,200,14518.347167
-31.859978,200,14567.076443
-36.20524,200,14616.229321
-29.646848,200,14665.265136
-29.112639,200,14714.328658
-26.367189,200,14874.052858
-32.917722,200,14923.249455
-32.065658,200,14971.981119
-26.536209,200,15019.80984
-34.108677,200,15068.754258
-30.700049,200,15211.042392
-24.015215,200,15259.647798
-36.264374,200,15308.854975
-29.115582,200,15358.385875
-29.316396,200,15406.760719
-28.873162,200,15571.177191
-30.46249,200,15619.74939
-24.338423,200,15668.589306
-26.327568,200,15717.014971
-28.367237,200,15766.165518
-28.860107,200,15871.953014
-31.002054,200,15920.620946
-25.494475,200,15970.209106
-27.552313,200,16018.986468
-36.437706,200,16067.715881
-28.378365,200,16227.14174
-34.527734,200,16275.949825
-28.994909,200,16324.553458
-32.77567,200,16372.16523
-30.473876,200,16421.37901
-36.332628,200,16635.862022
-32.478436,200,16684.652144
-26.892365,200,16734.066936
-32.291735,200,16782.768758
-28.999374,200,16831.687912
-33.335406,200,16996.885082
-32.547437,200,17044.825615
-35.248869,200,17093.35724
-30.961002,200,17141.045692
-31.173546,200,17189.171306
-30.252008,200,17264.782474
-27.613052,200,17313.041448
-29.473985,200,17362.184521
-33.463405,200,17411.083904
-33.995706,200,17458.781738
-31.901737,200,17620.260454
-31.68514,200,17669.367086
-31.657449,200,17718.027569
-29.515053,200,17766.453609
-30.582661,200,17814.037464
-27.627425,200,17862.576831
-26.18783,200,18004.198105
-29.626884,200,18053.032866
-26.384119,200,18101.000892
-29.277309,200,18150.546566
-30.229416,200,18308.389441
-31.51278,200,18356.718899
-30.684805,200,18405.168666
-30.311731,200,18453.16854
-26.98254,200,18502.277894
-32.42344,200,18551.252424
-25.924742,200,18699.609493
-24.930647,200,18748.947817
-27.191514,200,18797.731444
-27.631267,200,18846.625516
-28.521626,200,19010.305526
-32.177031,200,19059.378085
-32.307298,200,19109.119975
-27.89824,200,19157.78795
-31.390253,200,19205.891955
-28.492309,200,19254.410051
-32.750539,200,19354.147946
-23.22818,200,19402.535166
-29.807814,200,19451.497515
-30.774465,200,19500.461617
-29.974629,200,19660.037526
-31.134223,200,19709.585316
-26.504498,200,19758.517597
-28.705616,200,19807.993694
-32.142992,200,19856.518355
-27.482072,200,19905.495457
-29.525947,200,20065.867554
-31.043189,200,20114.317952
-25.888829,200,20163.278787
-32.858235,200,20211.519904
-28.068355,200,20370.246103
-29.281183,200,20418.702825
-26.590703,200,20467.521803
-29.975185,200,20515.980677
-34.723,200,20564.907566
-31.212384,200,20613.321507
-31.790769,200,20814.100257
-26.21456,200,20862.633549
-33.335993,200,20911.712172
-29.826485,200,20961.717809
-29.454089,200,21125.155957
-26.833437,200,21174.003044
-30.209565,200,21221.649614
-23.983709,200,21270.094531
-28.469493,200,21319.53437
-26.920133,200,21367.927569
-25.812187,200,21417.245384
-23.130721,200,21565.980485
-30.851117,200,21614.313854
-28.758004,200,21662.818932
-28.890474,200,21826.369341
-27.404054,200,21874.293343
-27.319097,200,21923.638715
-24.48138,200,21972.096562
-29.364793,200,22021.121722
-28.697973,200,22069.549759
-28.285587,200,22119.153584
-28.197392,200,22276.537616
-28.82963,200,22324.661505
