#{"t_start": 1704790728.400457, "env_id": "edge_follow-v0"}
r,l,t
-54.963388,200,50.750967
-42.789573,200,98.95802
-51.804771,200,147.190385
-40.707144,200,194.912435
-40.897078,200,242.285115
-46.360008,200,289.743231
-38.791263,200,336.733291
-47.352832,200,384.880692
-40.887158,200,433.236521
-39.185006,200,481.225161
-37.435989,200,803.159584
-50.795194,200,851.724154
-39.155044,200,899.138799
-38.091422,200,946.30785
-47.581993,200,994.297701
-36.610588,200,1041.376403
-35.579461,200,1089.509072
-53.825967,200,1137.389993
-41.105339,200,1185.132578
-41.337217,200,1232.85606
-39.284336,200,1556.799262
-41.670743,200,1604.672476
-36.199082,200,1652.488234
-36.645658,200,1700.441907
-37.144059,200,1748.426588
-36.663015,200,1796.43625
-37.474083,200,1844.366231
-43.609082,200,1893.292596
-37.167808,200,1940.837452
-37.089314,200,1988.117228
-37.604928,200,2860.759077
-36.579819,200,2908.737978
-37.644225,200,2957.048896
-34.94986,200,3005.671105
-35.444769,200,3054.794785
-37.209022,200,3104.041366
-34.204931,200,3153.289896
-37.326024,200,3202.867191
-36.210817,200,3251.384951
-37.309906,200,3300.208222
-36.811083,200,3579.383648
-36.344679,200,3627.846798
-34.123419,200,3676.111058
-32.985062,200,3725.02245
-35.543654,200,3772.969832
-38.097292,200,3821.882904
-37.812769,200,3869.680238
-35.821841,200,3918.473423
-36.991977,200,3967.542567
-33.88245,200,4015.996552
-36.352782,200,4178.526782
-34.107763,200,4293.286629
-37.749298,200,4341.815779
-33.93348,200,4390.660351
-34.624998,200,4438.982364
-34.895388,200,4486.969795
-36.316145,200,4535.346941
-35.904045,200,4583.496682
-37.078292,200,4631.722539
-34.429953,200,4680.210226
-36.290401,200,4842.635952
-37.751661,200,4922.886991
-35.590209,200,4971.679907
-34.756705,200,5019.724355
-36.136545,200,5067.624442
-26.930779,200,5115.717848
-32.798552,200,5166.928016
-31.946435,200,5216.869603
-31.329847,200,5266.319627
-29.197904,200,5314.953227
-36.838377,200,5477.667649
-34.921531,200,5632.74982
-33.011756,200,5681.345166
-31.791162,200,5730.28256
-30.983883,200,5778.739169
-33.88084,200,5827.10028
-31.804197,200,5875.348917
-36.299283,200,5924.863268
-36.655388,200,5973.775399
-35.593866,200,6022.905349
-34.497166,200,6187.769474
-34.647831,200,6333.281433
-33.528751,200,6381.938927
-33.903716,200,6430.766555
-29.90521,200,6479.414494
-34.896572,200,6528.531275
-34.162263,200,6577.753202
-36.099925,200,6626.344132
-34.506465,200,6675.750828
-36.13161,200,6724.428861
-31.975474,200,6890.385397
-29.741498,200,6939.266013
-32.549051,200,7065.769625
-35.07175,200,7115.003163
-35.673447,200,7163.557582
-31.529363,200,7212.171266
-35.321502,200,7259.740672
-28.033077,200,7309.017214
-29.023074,200,7357.847389
-35.278708,200,7408.012395
-31.300435,200,7567.421828
-35.024374,200,7616.194977
-34.256188,200,7710.143035
-31.446686,200,7759.232541
-35.843483,200,7806.895955
-30.80807,200,7855.644691
-31.155213,200,7904.390777
-28.217838,200,7953.198313
-36.682269,200,8001.321408
-34.295287,200,8050.064659
-33.459063,200,8211.71075
-31.760609,200,8260.353947
-34.703681,200,8403.210634
-33.180129,200,8452.234113
-28.391889,200,8500.944741
-35.214865,200,8549.241951
-36.092817,200,8598.856671
-30.567723,200,8647.903351
-32.589578,200,8696.377639
-34.712421,200,8745.323035
-30.514293,200,8899.587481
-38.2023,200,8947.20725
-35.061726,200,9039.971763
-31.021376,200,9088.059621
-31.939397,200,9137.045758
-32.883128,200,9185.926678
-31.6423,200,9234.112533
-35.426014,200,9282.591508
-31.349536,200,9331.769768
-31.242964,200,9380.408562
-29.961174,200,9541.233018
-34.610368,200,9589.51315
-31.328611,200,9637.712377
-33.43955,200,9700.155243
-30.376129,200,9749.144583
-28.960466,200,9797.316231
-33.902216,200,9845.940111
-31.307477,200,9894.189416
-30.997683,200,9943.049514
-35.897939,200,9992.150036
-34.659481,200,10153.18068
-33.97601,200,10202.063568
-29.110338,200,10251.338001
-32.694336,200,10369.300094
-35.023532,200,10418.403679
-35.950844,200,10466.794885
-27.546123,200,10514.561351
-29.40336,200,10564.358928
-33.552789,200,10613.054469
-30.944958,200,10661.937882
-30.957139,200,10823.324318
-30.404433,200,10872.255456
-29.937648,200,10920.674606
-27.419555,200,11093.396681
-34.20668,200,11141.924747
-29.623706,200,11190.880278
-31.760887,200,11239.908066
-33.962763,200,11288.702895
-31.654431,200,11337.028556
-36.485897,200,11385.382699
-36.232324,200,11548.4146
-27.771577,200,11597.336133
-30.159863,200,11646.621573
-27.312909,200,11707.363223
-32.071987,200,11755.990667
-32.352249,200,11805.048302
-33.561863,200,11854.258958
-36.724346,200,11903.723496
-36.554871,200,11951.900606
-32.607513,200,11999.955532
-31.159219,200,12165.510697
-27.40949,200,12214.446647
-34.08928,200,12263.346368
-31.941738,200,12312.171286
-23.886435,200,12464.523152
-31.819381,200,12513.539065
-31.943598,200,12562.141004
-29.975095,200,12609.967012
-31.940041,200,12657.950267
-31.572633,200,12706.021677
-36.123072,200,12863.957351
-27.425481,200,12911.972647
-30.348772,200,12960.63467
-32.922637,200,13010.238723
-31.340868,200,13094.663668
-29.039906,200,13142.269851
-33.255276,200,13191.41833
-30.673255,200,13240.048726
-30.481933,200,13289.343975
-38.252582,200,13338.189846
-36.326392,200,13499.078947
-25.992136,200,13548.127961
-30.238012,200,13597.11097
-32.214576,200,13646.048137
-26.611138,200,13785.251224
-33.478196,200,13833.559059
-33.699645,200,13881.962585
-32.507218,200,13931.222735
-27.539977,200,13979.75419
-35.152676,200,14029.91648
-29.493054,200,14199.214668
-34.060384,200,14247.705146
