#{"t_start": 1704727823.6291232, "env_id": "edge_follow-v0"}
r,l,t
-56.718609,200,49.261837
-38.321622,200,96.05114
-53.634834,200,142.656524
-40.941425,200,190.714657
-47.174146,200,239.547646
-38.911291,200,289.308189
-60.505463,200,339.960432
-50.136456,200,389.369797
-45.717499,200,440.349298
-38.739221,200,489.36067
-36.575241,200,807.207116
-45.578087,200,856.962539
-40.393884,200,906.393056
-60.662103,200,956.316929
-38.924782,200,1006.415293
-42.827018,200,1056.363756
-41.107193,200,1106.223669
-39.979097,200,1155.898745
-42.258138,200,1206.23279
-69.299997,200,1255.966744
