#{"t_start": 1704727823.8848789, "env_id": "edge_follow-v0"}
r,l,t
-39.236573,200,49.016791
-43.184758,200,95.797702
-41.216583,200,142.412493
-48.463649,200,190.463225
-46.449111,200,239.29189
-62.48053,200,289.141307
-53.514268,200,339.78086
-40.812636,200,389.110352
-48.609298,200,440.091568
-43.947728,200,489.168295
-53.614375,200,807.0371
-41.606049,200,856.713896
-38.56318,200,906.134275
-42.145897,200,956.133224
-43.249738,200,1006.130011
-36.537974,200,1056.152967
-40.425983,200,1106.024424
-53.759274,200,1155.740845
-41.836111,200,1206.00369
-36.388121,200,1255.865247
