#{"t_start": 1704727823.4662604, "env_id": "edge_follow-v0"}
r,l,t
-43.262665,200,49.430478
-60.98343,200,96.243871
-48.125699,200,142.802007
-46.718066,200,190.865916
-38.843368,200,239.701837
-52.6265,200,289.448962
-44.196114,200,340.114262
-46.821389,200,389.468138
-38.569258,200,440.45194
-36.723787,200,489.518562
-44.937821,200,807.364875
-38.895733,200,857.112904
-46.655,200,906.535876
-39.123873,200,956.483525
-47.528961,200,1006.424084
-43.177083,200,1056.525433
-53.192744,200,1106.354036
-38.137652,200,1156.058466
-39.135152,200,1206.38887
-39.749862,200,1256.128541
