#{"t_start": 1704727824.366847, "env_id": "edge_follow-v0"}
r,l,t
-51.693072,200,48.614739
-44.516111,200,95.36715
-45.19869,200,141.991673
-42.432058,200,190.073114
-40.670213,200,238.90634
-38.600935,200,288.688078
-45.532296,200,339.271752
-45.711585,200,388.714848
-45.324124,200,439.687921
-39.125873,200,488.78155
-46.134779,200,806.61633
-40.781114,200,856.340436
-37.425886,200,905.73117
-41.280657,200,955.720461
-51.225291,200,1005.750972
-61.997479,200,1055.638839
-54.292132,200,1105.584074
-44.622872,200,1155.272301
-37.386032,200,1205.637521
-36.684818,200,1255.459811
