#{"t_start": 1704727824.3579845, "env_id": "edge_follow-v0"}
r,l,t
-54.292582,200,48.540719
-62.045625,200,95.381418
-46.688991,200,141.941004
-61.304014,200,190.011363
-46.827033,200,238.865153
-56.280849,200,288.663619
-44.156281,200,339.279772
-45.757019,200,388.720798
-63.10601,200,439.632441
-41.889202,200,488.735943
-44.866135,200,806.652159
-45.182069,200,856.359974
-59.533443,200,905.690815
-39.180567,200,955.725518
-37.025937,200,1005.663995
-38.907545,200,1055.775825
-37.348321,200,1105.555734
-38.396158,200,1155.281394
-40.296586,200,1205.649245
-37.468558,200,1255.467284
