#{"t_start": 1704727824.355971, "env_id": "edge_follow-v0"}
r,l,t
-46.553015,200,48.528786
-55.087986,200,95.325394
-38.590395,200,141.922888
-41.002872,200,189.989523
-46.785417,200,238.813899
-51.544837,200,288.560996
-40.122319,200,339.2319
-43.52246,200,388.640575
-62.248209,200,439.615781
-42.609541,200,488.732752
-51.510371,200,806.492502
-41.3173,200,856.245661
-42.490502,200,905.664559
-41.932662,200,955.585467
-41.054583,200,1005.675183
-50.433594,200,1055.641734
-46.678714,200,1105.479562
-37.644982,200,1155.184328
-39.741938,200,1205.499082
-38.385575,200,1255.241378
