#{"t_start": 1704727824.3458147, "env_id": "edge_follow-v0"}
r,l,t
-56.100674,200,48.541543
-39.113422,200,95.331315
-42.796274,200,141.943171
-42.890392,200,190.002506
-61.532185,200,238.829565
-54.665698,200,288.572867
-48.503082,200,339.234717
-42.805628,200,388.652756
-42.611316,200,439.629465
-38.945543,200,488.738503
-38.038442,200,806.544299
-40.135325,200,856.242465
-39.481655,200,905.735466
-41.190879,200,955.61422
-43.531679,200,1005.704728
-42.928413,200,1055.691201
-40.148959,200,1105.555651
-39.511476,200,1155.200184
-40.76981,200,1205.500383
-39.286748,200,1255.356141
